model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc,tr_1per,te_1per
LR,50,100,100,sgd,0.001,0.001,0.001,0.6784,0.5356,0.5758,0.6727,0.5295,0.5544,0.5182,0.5152
LR-R,50,100,100,sgd,0.001,0.001,0.001,0.6819,0.5360,0.5801,0.6793,0.5332,0.5606,0.5182,0.5152
FM,50,100,100,sgd,0.001,0.001,0.001,0.7091,0.6382,0.7238,0.6493,0.5662,0.5817,0.5182,0.5152
FM-R,50,100,100,sgd,0.001,0.001,0.001,0.7084,0.6162,0.7168,0.6617,0.5580,0.5796,0.5182,0.5152
LR,50,100,100,adagrad,0.001,0.001,0.001,0.6794,0.5314,0.5654,0.6699,0.5178,0.5251,0.5182,0.5152
LR-R,50,100,100,adagrad,0.001,0.001,0.001,0.6814,0.5306,0.5773,0.6758,0.5218,0.5568,0.5182,0.5152
FM,50,100,100,adagrad,0.001,0.001,0.001,0.6862,0.6206,0.6790,0.6174,0.5380,0.5486,0.5182,0.5152
FM-R,50,100,100,adagrad,0.001,0.001,0.001,0.6939,0.6150,0.6765,0.6252,0.5335,0.5433,0.5182,0.5152
LR,50,100,100,RMSprop,0.001,0.001,0.001,0.6822,0.5692,0.6324,0.6609,0.5417,0.5663,0.5182,0.5152
LR-R,50,100,100,RMSprop,0.001,0.001,0.001,0.6848,0.5406,0.6031,0.6775,0.5320,0.5779,0.5182,0.5152
FM,50,100,100,RMSprop,0.001,0.001,0.001,1.0000,1.0000,1.0000,0.6933,0.6848,0.7389,0.5182,0.5152
FM-R,50,100,100,RMSprop,0.001,0.001,0.001,0.7326,0.6642,0.7715,0.6778,0.5935,0.6643,0.5182,0.5152
LR,50,100,100,adam,0.001,0.001,0.001,0.6840,0.5705,0.6329,0.6589,0.5380,0.5687,0.5182,0.5152
LR-R,50,100,100,adam,0.001,0.001,0.001,0.6853,0.5377,0.6030,0.6762,0.5255,0.5780,0.5182,0.5152
FM,50,100,100,adam,0.001,0.001,0.001,1.0000,1.0000,1.0000,0.6870,0.6785,0.7438,0.5182,0.5152
FM-R,50,100,100,adam,0.001,0.001,0.001,0.7476,0.7002,0.7972,0.6854,0.6268,0.6895,0.5182,0.5152
LR,50,100,100,sgd,0.001,0.001,0.001,0.6802,0.5398,0.5810,0.6752,0.5322,0.5647,0.5182,0.5152
LR-R,50,100,100,sgd,0.001,0.001,0.001,0.6806,0.5322,0.5812,0.6758,0.5272,0.5630,0.5182,0.5152
FM,50,100,100,sgd,0.001,0.001,0.001,0.7091,0.6382,0.7238,0.6489,0.5650,0.5816,0.5182,0.5152
FM-R,50,100,100,sgd,0.001,0.001,0.001,0.7081,0.6161,0.7168,0.6622,0.5590,0.5796,0.5182,0.5152
LR,50,100,100,adagrad,0.001,0.001,0.001,0.6763,0.5300,0.5687,0.6723,0.5238,0.5456,0.5182,0.5152
LR-R,50,100,100,adagrad,0.001,0.001,0.001,0.6816,0.5282,0.5738,0.6764,0.5232,0.5488,0.5182,0.5152
FM,50,100,100,adagrad,0.001,0.001,0.001,0.6863,0.6207,0.6794,0.6168,0.5380,0.5497,0.5182,0.5152
FM-R,50,100,100,adagrad,0.001,0.001,0.001,0.6932,0.6096,0.6766,0.6270,0.5312,0.5433,0.5182,0.5152
LR,50,100,100,RMSprop,0.001,0.001,0.001,0.6843,0.5714,0.6323,0.6611,0.5415,0.5668,0.5182,0.5152
LR-R,50,100,100,RMSprop,0.001,0.001,0.001,0.6836,0.5396,0.6029,0.6789,0.5347,0.5771,0.5182,0.5152
FM,50,100,100,RMSprop,0.001,0.001,0.001,1.0000,1.0000,1.0000,0.6866,0.6798,0.7411,0.5182,0.5152
FM-R,50,100,100,RMSprop,0.001,0.001,0.001,0.7370,0.6828,0.7757,0.6774,0.6130,0.6706,0.5182,0.5152
LR,50,100,100,adam,0.001,0.001,0.001,0.6828,0.5694,0.6327,0.6598,0.5392,0.5659,0.5182,0.5152
LR-R,50,100,100,adam,0.001,0.001,0.001,0.6850,0.5395,0.6038,0.6789,0.5325,0.5753,0.5182,0.5152
FM,50,100,100,adam,0.001,0.001,0.001,1.0000,1.0000,1.0000,0.6892,0.6805,0.7438,0.5182,0.5152
FM-R,50,100,100,adam,0.001,0.001,0.001,0.7469,0.7085,0.7939,0.6783,0.6312,0.6870,0.5182,0.5152
LR,100,100,100,sgd,0.001,0.001,0.001,0.6778,0.5349,0.5797,0.6749,0.5325,0.5582,0.5182,0.5152
LR-R,100,100,100,sgd,0.001,0.001,0.001,0.6815,0.5367,0.5846,0.6747,0.5278,0.5709,0.5182,0.5152
FM,100,100,100,sgd,0.001,0.001,0.001,0.7512,0.7033,0.7937,0.6311,0.5660,0.5935,0.5182,0.5152
FM-R,100,100,100,sgd,0.001,0.001,0.001,0.7455,0.6970,0.7848,0.6351,0.5682,0.5947,0.5182,0.5152
LR,100,100,100,adagrad,0.001,0.001,0.001,0.6826,0.5361,0.5742,0.6732,0.5252,0.5466,0.5182,0.5152
LR-R,100,100,100,adagrad,0.001,0.001,0.001,0.6818,0.5332,0.5838,0.6741,0.5232,0.5649,0.5182,0.5152
FM,100,100,100,adagrad,0.001,0.001,0.001,0.7408,0.6909,0.7788,0.6031,0.5367,0.5551,0.5182,0.5152
FM-R,100,100,100,adagrad,0.001,0.001,0.001,0.7405,0.6796,0.7743,0.6206,0.5387,0.5536,0.5182,0.5152
LR,100,100,100,RMSprop,0.001,0.001,0.001,0.6837,0.5704,0.6322,0.6603,0.5407,0.5666,0.5182,0.5152
LR-R,100,100,100,RMSprop,0.001,0.001,0.001,0.6844,0.5386,0.6039,0.6781,0.5312,0.5725,0.5182,0.5152
FM,100,100,100,RMSprop,0.001,0.001,0.001,1.0000,1.0000,1.0000,0.6856,0.6788,0.7420,0.5182,0.5152
FM-R,100,100,100,RMSprop,0.001,0.001,0.001,0.7494,0.7062,0.7991,0.6844,0.6312,0.6912,0.5182,0.5152
LR,100,100,100,adam,0.001,0.001,0.001,0.6834,0.5686,0.6330,0.6615,0.5402,0.5670,0.5182,0.5152
LR-R,100,100,100,adam,0.001,0.001,0.001,0.6847,0.5380,0.6025,0.6796,0.5327,0.5781,0.5182,0.5152
FM,100,100,100,adam,0.001,0.001,0.001,1.0000,1.0000,1.0000,0.7006,0.6915,0.7587,0.5182,0.5152
FM-R,100,100,100,adam,0.001,0.001,0.001,0.7614,0.7251,0.8161,0.6927,0.6455,0.7008,0.5182,0.5152
