model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc
LR,30,20,50,adam,0.005,0.005,0.005,0.8430,0.8320,0.9098,0.8337,0.8280,0.9104
FM,30,20,50,adam,0.005,0.005,0.005,0.9379,0.9368,0.9810,0.9324,0.9328,0.9825
FFM,30,20,50,adam,0.005,0.005,0.005,0.9139,0.9107,0.9661,0.9157,0.9160,0.9679
LR,20,20,50,adam,0.005,0.005,0.005,0.8420,0.8325,0.9099,0.8310,0.8272,0.9115
LR,35,20,50,adam,0.005,0.005,0.005,0.8403,0.8315,0.9098,0.8356,0.8328,0.9117
LR,40,20,50,adam,0.005,0.005,0.005,0.8412,0.8309,0.9098,0.8342,0.8296,0.9112
FM,20,20,50,adam,0.005,0.005,0.005,0.9401,0.9387,0.9809,0.9301,0.9304,0.9824
FM,35,20,50,adam,0.005,0.005,0.005,0.9409,0.9400,0.9811,0.9290,0.9296,0.9807
FM,40,20,50,adam,0.005,0.005,0.005,0.9349,0.9339,0.9791,0.9269,0.9280,0.9811
FFM,20,20,50,adam,0.005,0.005,0.005,0.9133,0.9117,0.9660,0.9150,0.9168,0.9683
FFM,35,20,50,adam,0.005,0.005,0.005,0.9167,0.9147,0.9663,0.9156,0.9168,0.9676
FFM,40,20,50,adam,0.005,0.005,0.005,0.9145,0.9131,0.9659,0.9165,0.9184,0.9684
LR,30,20,50,adam,0.001,0.005,0.005,0.8417,0.8301,0.9091,0.8356,0.8288,0.9109
LR,30,20,50,adam,0.005,0.005,0.005,0.8368,0.8309,0.9091,0.8313,0.8312,0.9101
LR,30,20,50,adam,0.01,0.005,0.005,0.8394,0.8320,0.9083,0.8316,0.8296,0.9088
LR,30,20,50,adam,0.05,0.005,0.005,0.8295,0.8203,0.8996,0.8171,0.8112,0.8960
FM,30,20,50,adam,0.001,0.005,0.005,0.9393,0.9389,0.9804,0.9245,0.9264,0.9810
FM,30,20,50,adam,0.005,0.005,0.005,0.9401,0.9387,0.9798,0.9284,0.9288,0.9802
FM,30,20,50,adam,0.01,0.005,0.005,0.9345,0.9341,0.9784,0.9264,0.9280,0.9785
FM,30,20,50,adam,0.05,0.005,0.005,0.8798,0.8773,0.8949,0.8632,0.8648,0.8856
FFM,30,20,50,adam,0.001,0.005,0.005,0.9173,0.9147,0.9689,0.9176,0.9184,0.9706
FFM,30,20,50,adam,0.005,0.005,0.005,0.9184,0.9160,0.9662,0.9130,0.9136,0.9683
FFM,30,20,50,adam,0.01,0.005,0.005,0.9060,0.9035,0.9635,0.9086,0.9104,0.9646
FFM,30,20,50,adam,0.05,0.005,0.005,0.8658,0.8669,0.9323,0.8335,0.8424,0.9194
LR,30,20,50,adam,0.001,0.005,0.005,0.8409,0.8283,0.9091,0.8349,0.8272,0.9105
LR,30,20,50,adam,0.005,0.005,0.005,0.8429,0.8336,0.9100,0.8368,0.8328,0.9110
LR,30,20,50,adam,0.01,0.005,0.005,0.8425,0.8320,0.9097,0.8322,0.8264,0.9089
LR,30,20,50,adam,0.05,0.005,0.005,0.8342,0.8227,0.9035,0.8217,0.8160,0.9075
FM,30,20,50,adam,0.001,0.005,0.005,0.9392,0.9381,0.9799,0.9319,0.9328,0.9811
FM,30,20,50,adam,0.005,0.005,0.005,0.9385,0.9376,0.9799,0.9268,0.9280,0.9816
FM,30,20,50,adam,0.01,0.005,0.005,0.9351,0.9339,0.9802,0.9331,0.9336,0.9812
FM,30,20,50,adam,0.05,0.005,0.005,0.8118,0.7907,0.8084,0.8000,0.7840,0.8089
FFM,30,20,50,adam,0.001,0.005,0.005,0.9177,0.9152,0.9676,0.9154,0.9168,0.9695
FFM,30,20,50,adam,0.005,0.005,0.005,0.9146,0.9123,0.9661,0.9137,0.9152,0.9675
FFM,30,20,50,adam,0.01,0.005,0.005,0.9110,0.9096,0.9628,0.9098,0.9120,0.9660
FFM,30,20,50,adam,0.05,0.005,0.005,0.8987,0.8965,0.9574,0.8977,0.9008,0.9582
