model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc
LR,20,20,50,sgd,0.001,0.005,0.005,0.8335,0.8235,0.9101,0.8238,0.8104,0.9069
LR,20,20,50,sgd,0.005,0.005,0.005,0.8856,0.8856,0.9514,0.8711,0.8712,0.9470
LR,20,20,50,adagrad,0.001,0.005,0.005,0.8313,0.8248,0.9051,0.8329,0.8264,0.9091
LR,20,20,50,adagrad,0.005,0.005,0.005,0.8856,0.8821,0.9491,0.8753,0.8712,0.9455
LR,20,20,50,RMSprop,0.001,0.005,0.005,0.8921,0.8915,0.9556,0.8827,0.8824,0.9524
LR,20,20,50,RMSprop,0.005,0.005,0.005,0.8940,0.8909,0.9567,0.8913,0.8872,0.9535
LR,20,20,50,adam,0.001,0.005,0.005,0.8819,0.8819,0.9503,0.8695,0.8696,0.9458
LR,20,20,50,adam,0.005,0.005,0.005,0.8929,0.8901,0.9568,0.8916,0.8880,0.9534
FM,20,20,50,sgd,0.001,0.005,0.005,0.9282,0.9277,0.9772,0.9242,0.9232,0.9762
FM,20,20,50,sgd,0.005,0.005,0.005,0.9539,0.9541,0.9872,0.9446,0.9448,0.9837
FM,20,20,50,adagrad,0.001,0.005,0.005,0.9241,0.9235,0.9734,0.9157,0.9152,0.9702
FM,20,20,50,adagrad,0.005,0.005,0.005,0.9500,0.9504,0.9854,0.9430,0.9432,0.9838
FM,20,20,50,RMSprop,0.001,0.005,0.005,0.9392,0.9397,0.9823,0.9387,0.9392,0.9819
FM,20,20,50,RMSprop,0.005,0.005,0.005,0.9432,0.9432,0.9838,0.9449,0.9448,0.9828
FM,20,20,50,adam,0.001,0.005,0.005,0.9391,0.9392,0.9824,0.9365,0.9368,0.9820
FM,20,20,50,adam,0.005,0.005,0.005,0.9429,0.9435,0.9837,0.9355,0.9360,0.9827
FFM,20,20,50,sgd,0.001,0.005,0.005,0.8662,0.8613,0.9380,0.8496,0.8448,0.9339
FFM,20,20,50,sgd,0.005,0.005,0.005,0.9030,0.9013,0.9654,0.9013,0.9000,0.9667
FFM,20,20,50,adagrad,0.001,0.005,0.005,0.8682,0.8643,0.9390,0.8673,0.8632,0.9382
FFM,20,20,50,adagrad,0.005,0.005,0.005,0.9259,0.9251,0.9755,0.9286,0.9280,0.9746
FFM,20,20,50,RMSprop,0.001,0.005,0.005,0.9243,0.9248,0.9747,0.9195,0.9200,0.9742
FFM,20,20,50,RMSprop,0.005,0.005,0.005,0.9332,0.9339,0.9782,0.9225,0.9232,0.9774
FFM,20,20,50,adam,0.001,0.005,0.005,0.9304,0.9301,0.9784,0.9290,0.9288,0.9787
FFM,20,20,50,adam,0.005,0.005,0.005,0.9306,0.9312,0.9786,0.9251,0.9256,0.9791
