model,k,epoch,batch_size,optimizer,lr,l1,l2,train_f1,train_acc,train_auc,test_f1,test_acc,test_auc,tr_1per,te_1per
LR,30,100,100,sgd,0.001,0.001,0.001,0.6646333333333333,0.5359,0.5867666666666667,0.6641333333333334,0.5358666666666667,0.5770666666666667,0.5154,0.5088
LR-R,30,100,100,sgd,0.001,0.001,0.001,0.6676333333333333,0.5328666666666666,0.5911333333333334,0.6653333333333333,0.5300666666666666,0.5812,0.5154,0.5088
FM,30,100,100,sgd,0.001,0.001,0.001,0.6733333333333333,0.5770333333333334,0.6482,0.6576333333333333,0.5584666666666666,0.6019,0.5154,0.5088
FM-R,30,100,100,sgd,0.001,0.001,0.001,0.6782,0.5616333333333333,0.6458,0.6701333333333332,0.5528333333333334,0.6057333333333333,0.5154,0.5088
LR,30,100,100,adagrad,0.001,0.001,0.001,0.6676666666666667,0.5298333333333334,0.5829666666666667,0.6607666666666666,0.5211,0.5570666666666667,0.5154,0.5088
LR-R,30,100,100,adagrad,0.001,0.001,0.001,0.6695666666666668,0.5270333333333334,0.5858666666666666,0.6690666666666667,0.5251,0.5762666666666667,0.5154,0.5088
FM,30,100,100,adagrad,0.001,0.001,0.001,0.7028333333333333,0.6236333333333334,0.7262666666666666,0.6667333333333333,0.5782666666666666,0.6363,0.5154,0.5088
FM-R,30,100,100,adagrad,0.001,0.001,0.001,0.6814333333333332,0.5593,0.6579,0.6702666666666666,0.5443,0.6107333333333334,0.5154,0.5088
LR,30,100,100,RMSprop,0.001,0.001,0.001,0.6711666666666667,0.5691,0.6340666666666667,0.6558333333333334,0.5484333333333333,0.5891000000000001,0.5154,0.5088
LR-R,30,100,100,RMSprop,0.001,0.001,0.001,0.6726000000000001,0.5378333333333334,0.6101666666666666,0.6679333333333334,0.5322666666666667,0.5932333333333334,0.5154,0.5088
FM,30,100,100,RMSprop,0.001,0.001,0.001,0.9998999999999999,0.9998999999999999,1.0,0.7272,0.7243333333333334,0.8031,0.5154,0.5088
FM-R,30,100,100,RMSprop,0.001,0.001,0.001,0.7467,0.7017666666666668,0.8017333333333333,0.6996333333333333,0.6481666666666667,0.7281333333333334,0.5154,0.5088
LR,30,100,100,adam,0.001,0.001,0.001,0.6719,0.5692666666666667,0.6345999999999999,0.6547999999999999,0.5457333333333333,0.5892666666666667,0.5154,0.5088
LR-R,30,100,100,adam,0.001,0.001,0.001,0.6732666666666667,0.5368666666666667,0.6101333333333333,0.6690999999999999,0.5314666666666666,0.5942666666666666,0.5154,0.5088
FM,30,100,100,adam,0.001,0.001,0.001,1.0,1.0,1.0,0.7290666666666668,0.7244,0.8033333333333332,0.5154,0.5088
FM-R,30,100,100,adam,0.001,0.001,0.001,0.7569,0.7246,0.8164333333333333,0.7004,0.6612666666666667,0.7365333333333334,0.5154,0.5088
LR,50,100,100,sgd,0.001,0.001,0.001,0.6648000000000001,0.5353666666666667,0.5869333333333333,0.6589999999999999,0.5271666666666667,0.5754666666666667,0.5154,0.5088
LR-R,50,100,100,sgd,0.001,0.001,0.001,0.6673333333333332,0.5312333333333333,0.5873666666666667,0.6632666666666667,0.5261,0.5725666666666666,0.5154,0.5088
FM,50,100,100,sgd,0.001,0.001,0.001,0.6904333333333333,0.6108333333333333,0.6905666666666667,0.6605,0.5725666666666666,0.6261333333333333,0.5154,0.5088
FM-R,50,100,100,sgd,0.001,0.001,0.001,0.6901333333333334,0.5948,0.6852333333333332,0.6671666666666667,0.5644333333333333,0.625,0.5154,0.5088
LR,50,100,100,adagrad,0.001,0.001,0.001,0.6644333333333333,0.5258666666666666,0.5774,0.6598333333333333,0.5181666666666667,0.5606666666666666,0.5154,0.5088
LR-R,50,100,100,adagrad,0.001,0.001,0.001,0.6690999999999999,0.5270666666666667,0.5841999999999999,0.6693000000000001,0.5282999999999999,0.5721333333333333,0.5154,0.5088
FM,50,100,100,adagrad,0.001,0.001,0.001,0.7434,0.7072333333333334,0.8010333333333333,0.6748,0.6244666666666667,0.6838666666666667,0.5154,0.5088
FM-R,50,100,100,adagrad,0.001,0.001,0.001,0.6979666666666667,0.6127333333333334,0.7121666666666666,0.6712666666666666,0.5788666666666668,0.6429333333333335,0.5154,0.5088
LR,50,100,100,RMSprop,0.001,0.001,0.001,0.6717666666666666,0.5679666666666666,0.634,0.6565,0.5475666666666666,0.5890000000000001,0.5154,0.5088
LR-R,50,100,100,RMSprop,0.001,0.001,0.001,0.6726000000000001,0.5390666666666667,0.6099666666666667,0.6683333333333333,0.5342333333333333,0.5944666666666666,0.5154,0.5088
FM,50,100,100,RMSprop,0.001,0.001,0.001,1.0,1.0,1.0,0.7378,0.7358333333333333,0.802,0.5154,0.5088
FM-R,50,100,100,RMSprop,0.001,0.001,0.001,0.758,0.7230333333333334,0.8194666666666667,0.7040333333333333,0.6631,0.7416333333333333,0.5154,0.5088
LR,50,100,100,adam,0.001,0.001,0.001,0.6714000000000001,0.5691333333333334,0.6345000000000001,0.6560333333333334,0.5484333333333334,0.5891666666666667,0.5154,0.5088
LR-R,50,100,100,adam,0.001,0.001,0.001,0.6723666666666667,0.5399666666666666,0.6102333333333333,0.6674333333333333,0.5341333333333332,0.5937333333333333,0.5154,0.5088
FM,50,100,100,adam,0.001,0.001,0.001,1.0,1.0,1.0,0.7425333333333333,0.7391666666666667,0.8142999999999999,0.5154,0.5088
FM-R,50,100,100,adam,0.001,0.001,0.001,0.7632666666666666,0.7332,0.8283333333333333,0.7076666666666666,0.6697333333333333,0.7428,0.5154,0.5088
LR,100,100,100,sgd,0.001,0.001,0.001,0.6664,0.5388999999999999,0.5879333333333333,0.6618333333333334,0.5330666666666667,0.5731,0.5154,0.5088
LR-R,100,100,100,sgd,0.001,0.001,0.001,0.6679666666666666,0.5332,0.5892333333333333,0.6668,0.5318666666666666,0.5829666666666666,0.5154,0.5088
FM,100,100,100,sgd,0.001,0.001,0.001,0.7107666666666667,0.6478333333333333,0.7370999999999999,0.6685,0.5941666666666666,0.6547,0.5154,0.5088
FM-R,100,100,100,sgd,0.001,0.001,0.001,0.7085,0.6346666666666666,0.7290666666666666,0.6713333333333332,0.5860666666666666,0.653,0.5154,0.5088
LR,100,100,100,adagrad,0.001,0.001,0.001,0.6662333333333333,0.5281666666666667,0.5774333333333334,0.6646666666666666,0.5255,0.5664333333333333,0.5154,0.5088
LR-R,100,100,100,adagrad,0.001,0.001,0.001,0.6698,0.5295333333333333,0.5879333333333333,0.6659333333333334,0.5243333333333333,0.5746666666666667,0.5154,0.5088
FM,100,100,100,adagrad,0.001,0.001,0.001,0.8070666666666666,0.7949333333333334,0.8820666666666667,0.6905,0.6659666666666667,0.7353666666666667,0.5154,0.5088
FM-R,100,100,100,adagrad,0.001,0.001,0.001,0.7201,0.6664333333333333,0.7574000000000001,0.6747666666666666,0.6110000000000001,0.6751666666666667,0.5154,0.5088
